ISO timestamp of the import (UTC),Report date extracted from filename,Region/market from filename,Page URL,Traffic share (%),Number of ranking keywords,Estimated organic traffic,Adwords positions,Positions with commercial intents in top 20,Positions with informational intents in top 20,Positions with navigational intents in top 20,Positions with transactional intents in top 20,Positions with unknown intents in top 20,Traffic with commercial intents in top 20,Traffic with informational intents in top 20,Traffic with navigational intents in top 20,Traffic with transactional intents in top 20,Traffic with unknown intents in top 20,Traffic change
target: n/a,target: n/a,target: n/a,target: n/a,target: n/a,target: n/a,target: n/a,target: n/a,target: n/a,target: n/a,target: n/a,target: n/a,target: n/a,target: n/a,target: n/a,target: n/a,target: n/a,target: n/a,target: n/a
timestamp_iso,report_date,region,url,traffic_pct,keywords,traffic,adwords_positions,positions_commercial_top20,positions_informational_top20,positions_navigational_top20,positions_transactional_top20,positions_unknown_top20,traffic_commercial_top20,traffic_informational_top20,traffic_navigational_top20,traffic_transactional_top20,traffic_unknown_top20,traffic_change
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/tri-state-savings-at-edge/,0,24,6,0,1,2,1,1,0,0,0,0,0,0,6
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/things-to-do/hudson-yards-luxury-experience/,0,36,9,0,1,7,1,3,0,0,9,0,0,0,6
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/events/marquee-skydeck-layton-giordani/,0,31,13,0,1,6,1,0,0,5,11,0,0,0,6
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/events/marquee-skydeck-benny-banassi/,0.01,31,22,0,0,6,0,1,0,0,22,0,4,0,-6
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/events/marquee-skydeck-diplo/,0.01,43,24,0,1,9,0,1,0,3,24,0,0,0,6
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/events/marquee-skydeck-afriqua/,0,28,0,0,0,6,1,3,0,0,0,0,0,0,-5
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/terms-conditions-hy-luxury/,0,2,5,0,0,2,0,1,0,0,5,0,0,0,5
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/news/24-hours-in-nyc-holiday-edition/,0,4,5,0,0,2,0,0,0,0,5,0,0,0,5
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/news/explore-mlk-weekend-in-nyc-history-views/,0,8,5,0,1,3,0,0,0,0,1,0,0,0,5
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/events/pinkmas-at-edge/,0,13,15,0,0,9,1,0,0,0,15,0,0,0,5
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/news/guide-to-visiting-hudson-yards-and-manhattans-west-side-with-kids/,0.01,30,26,0,3,11,3,2,0,18,16,1,0,0,5
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/es/,0.02,19,53,0,1,15,1,2,0,4,25,24,1,0,5
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/news/discover-the-best-winter-activities-in-nyc-this-season/,0,9,0,0,1,0,0,0,0,0,0,0,0,0,-4
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/events/dont-tell-comedy/,0,10,1,0,0,4,0,0,0,0,1,0,0,0,-4
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/events/marquee-skydeck-chris-lake-album-release/,0,24,2,0,1,6,0,3,0,0,1,0,1,0,-4
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/news/where-to-eat-at-hudson-yards-a-locals-guide/,0,71,5,0,21,3,2,1,0,4,0,0,0,0,4
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/es/news/10-things-to-do-in-nyc-for-the-holidays/,0,2,0,0,0,1,0,0,0,0,0,0,0,0,-3
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/events/bob-moses-at-marquee-skydeck/,0,28,2,0,0,8,1,3,0,0,2,0,0,0,-3
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/news/top-things-to-do-during-nyc-must-see-week/,0,6,3,0,3,2,0,0,0,2,1,0,0,0,3
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/events/marquee-skydeck-alok/,0,12,3,0,0,1,0,0,0,0,3,0,0,0,3
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/events/marquee-skydeck-lee-burridge/,0,13,4,0,0,3,1,0,0,0,4,0,0,0,3
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/things-to-do/priceless-experiences/,0,53,8,0,2,8,14,6,0,0,4,4,1,0,-3
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/news/www-edgenyc-com-news-thanksgiving-things-to-do-nyc/,0,82,12,0,1,62,0,0,0,0,12,0,0,0,3
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/events/marquee-skydeck-jan-blomqvist/,0.01,86,32,0,4,33,3,9,0,0,30,1,27,0,-3
2026-02-10T00:47:35.397Z,2026-02-08,US,http://edgenyc.com/,0.06,4,121,0,1,0,3,0,0,1,0,120,0,0,3
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/events/avision-at-marquee-skydeck/,0,20,0,0,0,5,0,3,0,0,0,0,0,0,-2
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/news/valentines-day-hudson-yards-guide/,0,5,0,0,0,0,0,0,0,0,0,0,0,0,-2
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/press/,0,15,1,0,3,3,0,0,0,0,0,0,0,0,-2
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/holiday-savings-at-edge/,0,11,2,0,0,5,0,5,0,0,0,0,2,0,2
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/news/nyc-instagram-spots-for-couples/,0,10,2,0,1,2,0,0,0,0,2,0,0,0,2
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/news/family-friendly-halloween-events-nyc/,0,96,3,0,8,14,0,0,0,0,3,0,0,0,-2
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/news/experience-nycs-ultimate-summer-nightlife/,0,27,3,0,1,10,2,6,0,0,3,1,0,0,2
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/es/news/veterans-day-in-nyc/,0,9,4,0,0,0,0,0,0,0,0,0,0,0,2
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/events/the-rock-and-roll-playhouse-music-of-chappell-roan-for-kids/,0,23,7,0,0,5,0,0,0,0,7,0,0,0,-2
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/events/vinyl-views/,0,81,7,0,5,11,1,4,0,4,4,0,2,0,2
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/garden-of-shadows/,0,23,7,0,0,10,5,2,0,0,6,0,0,0,-2
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/news/lawn-games-at-edge/,0,27,11,0,0,1,3,0,0,0,11,0,0,0,-2
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/events/marquee-skydeck-halloween-night/,0,61,11,0,4,3,0,0,0,0,11,0,0,0,-2
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/events/marquee-skydeck-bunt/,0,37,18,0,3,9,0,4,0,8,12,0,3,0,2
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/news/veterans-day-in-nyc/,0.01,57,25,0,0,27,0,15,0,0,25,0,13,0,2
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/nyc-marathon-deals-at-edge-vessel/,0,7,0,0,0,3,0,2,0,0,0,0,0,0,-1
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/es/news/edge-nyc-your-guide-to-the-best-views-in-nyc/,0,2,0,0,0,1,0,0,0,0,0,0,0,0,-1
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/news/tiesto-at-edge-hudson-yards/,0,5,0,0,0,3,0,3,0,0,0,0,0,0,-1
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/it/,0,5,0,0,0,0,0,1,0,0,0,0,0,0,-1
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/news/perfect-shopping-weekend-in-nyc/,0,9,0,0,0,0,1,0,0,0,0,0,0,0,-1
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/de/news/cozy-fall-date-ideas-in-nyc-with-a-view/?ref=app,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/events/garden-of-shadows-evening-performances-10-7/,0,5,0,0,0,0,0,0,0,0,0,0,0,0,-1
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/events/nye-city-climb/,0,25,1,0,0,4,0,1,0,0,1,0,0,0,1
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/events/an-ark-at-the-shed/,0,2,1,0,0,1,0,0,0,0,0,0,0,0,1
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/de/get-tickets/,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/news/experience-summer-at-hudson-yards-your-guide-to-backyard-at-hudson-yards/,0,21,1,0,0,7,1,2,0,0,1,0,0,0,-1
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/events/matt-martinez-x-trangaz-at-marquee-skydeck/,0,3,1,0,0,1,0,0,0,0,1,0,0,0,1
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/it/winter-savings-at-edge/,0,3,1,0,0,1,0,2,0,0,0,0,1,0,1
